Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mexico,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380,1964380
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Middle income,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79899527,79899527,79901567,79901647,79901647,79901647,79901647,79901647,79901647,79901647,79900307,79900317,79900317,79900987,79901897,79901929,79902019,79895096,79895096,79895086,79895076,79867886,79867886,79866006,79866010.2,79866059.2,79866068.7,79864409.5,79866306.8,79866306.4,79866305.8,79866144.8,79863604,79863509,79237059.5,79236881.5,79236883.5,79236048.5,79236048.5
"Macedonia, FYR",25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710,25710
Mali,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190,1240190
Malta,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320
Myanmar,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590,676590
Middle East & North Africa (excluding high income),8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8777960,8775420,8775420,8775420,8775230,8775230,8775230,8775230
Montenegro,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810,13810
Mongolia,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120,1564120
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Mozambique,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380,799380
Mauritania,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700,1030700
Mauritius,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040,2040
Malawi,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480,118480
Malaysia,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800,330800
North America,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19613810,19616750,19616750,19616750,19616750,19616750,19616750,19616750,19616750,19816230,19816230,19816230,19816230,19816230,19816230,19816230,19816230
Namibia,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290,824290
New Caledonia,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580,18580
Niger,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000,1267000
Nigeria,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770,923770
Nicaragua,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370,130370
Netherlands,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41530,41540,41540,41540,41540,41540,41540,41540,41540,41540,41540,41540
Norway,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178,385178
Nepal,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180,147180
Nauru,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
New Zealand,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710,267710
OECD members,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029098,36029118,36029128,36029148,36029158,36029158,36029158,36029158,36064229,36064609,36064979,36065349,36065089,36065139,36065469,36065499,36265114,36265327,36265644,36265631,36263046,36263380,36263444,36263444
Oman,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500,309500
Other small states,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081351,2081371,2081371,2074448,2074448,2074448,2074448,2074448,2074448,2074448,2074448,2074448,2074458,2072785,2072795,2072795,2072805,2072815,2072815,2072817,2072822,2072825,2072825,2072826,2072826
Pakistan,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100,796100
Panama,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420,75420
Peru,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220,1285220
Philippines,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000,300000
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Papua New Guinea,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840,462840
Poland,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312690,312680,312680,312680,312680,312680,312680,312680,312680,312680,312680
Pre-demographic dividend,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20553531,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20671131,20668051,20668051,20686183.5,20685993.5,20685993.5,20685993.5,20685993.5
Puerto Rico,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870,8870
"Korea, Dem. People’s Rep.",120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540,120540
Portugal,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92120,92090,92090,92090,92090,92210,92210,92210,92210,92220,92225,92225
Paraguay,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406750,406752,406752,406752,406752,406752,406752
West Bank and Gaza,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020
Pacific island small states,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,63810,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150,65150
Post-demographic dividend,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064463,33064473,33064483,33064513,33064603,33064603,33064533,33064533,33099614,33100000,33100376,33100758,33100561,33100611,33100956.6,33100988.2,33300603.2,33300810.5,33301172.7,33301192.9,33298609.9,33298935.3,33298993.3,33298993.3
French Polynesia,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
Qatar,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610,11610
Romania,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390,238390
Russian Federation,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098240,17098250,17098250,17098250,17098250,17098250,17098250
Rwanda,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340,26340
South Asia,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5144770,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5137847,5136164,5136164,5136164,5136164,5136164,5136164,5136164,5136164,5136164,5136164,5135333,5135333
Saudi Arabia,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690,2149690
Sudan,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,2505810,1879357.5,1879357.5,1879357.5,1879357.5,1879357.5
Senegal,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710,196710
Singapore,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,680,685,697,699,699,704,705,710,710,712,714,716,717,719,719
Solomon Islands,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900,28900
Sierra Leone,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300,72300
El Salvador,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040,21040
San Marino,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Somalia,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660,637660
Serbia,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360,88360
Sub-Saharan Africa (excluding high income),24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24272551,24290683.5,24290683.5,24290683.5,24290683.5,24290683.5
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644330,644330,644330,644330,644330
Sub-Saharan Africa,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24273011,24291143.5,24291143.5,24291143.5,24291143.5,24291143.5
Small states,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580241,2580151,2580151,2580151,2580151,2580151,2580151,2580151,2580151,2580151,2580151,2580151,2581491,2581511,2581511,2574588,2574588,2574588,2574588,2574588,2574588,2574588,2574588,2574588,2574598,2572925,2572935,2572935,2572945,2572955,2572955,2572957,2572962,2572965,2572965,2572966,2572966
Sao Tome and Principe,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960,960
Suriname,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820,163820
Slovak Republic,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49030,49035,49040,49037,49036,49036,49036,49035,49035
Slovenia,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270,20270
Sweden,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,450300,447420,447420,447420,447420
Swaziland,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360,17360
Sint Maarten (Dutch part),34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
Seychelles,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460,460
Syrian Arab Republic,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180,185180
Turks and Caicos Islands,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950,950
Chad,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000,1284000
East Asia & Pacific (IDA & IBRD countries),16149560,16149560,16149560,16149560,16149560,16149560,16149560,16149560,16149560,16149560,16149560,16149560,16149560,16149560,16149560,16149560,16147440,16147440,16149480,16149560,16149560,16149560,16149560,16149560,16149560,16149560,16148220,16148230,16148230,16148900,16150270,16150300,16150320,16150320,16150310,16150300,16150300,16150300,16150300,16148420,16148424.2,16148473.2,16148482.7,16148486.5,16150383.8,16150383.4,16150382.8,16150221.8,16150222,16150125,16150128,16150142,16150143,16150139,16150139
